mjd	F5100	F5100err	F4265	F4265err	F3750	F3750err	Halpha	Halphaerr	Hbeta	Hbetaerr	HeII4686	HeII4686err	HeI4471	HeI4471err	HeI5876	HeI5876err	dataset
50149.8	2.57700	0.05200							311.80000	6.20000	56.60000	4.50000					WHP98
50168.8	2.00100	0.04000							309.20000	6.20000	21.50000	1.70000					WHP98
50175.7	1.81800	0.06300							304.30000	10.50000	30.70000	2.50000					WHP98
50185.7	1.73000	0.04700							267.10000	7.20000	4.40000	0.40000					WHP98
50191.7	1.56300	0.03300							248.80000	5.30000	1.40000	0.10000					WHP98
50198.7	1.67100	0.07000							237.50000	9.90000	26.90000	2.20000					WHP98
50206.7	2.07700	0.07200							212.10000	7.30000	16.70000	1.30000					WHP98
50212.7	1.81500	0.03600							223.70000	4.50000	23.60000	1.90000					WHP98
50220.7	1.81300	0.03600							230.90000	4.60000	21.20000	1.70000					WHP98
50227.7	1.76800	0.04500							235.70000	6.00000	6.70000	0.50000					WHP98
50233.7	1.85100	0.03700							231.50000	4.60000	20.40000	1.60000					WHP98
50241.7	2.09900	0.04200							231.80000	4.60000	16.70000	1.30000					WHP98
50248.7	2.39900	0.04800							232.70000	4.70000	29.70000	2.40000					WHP98
50253.7	2.52200	0.05000							244.10000	4.90000	40.10000	3.20000					WHP98
50262.7	2.59300	0.12300							270.60000	12.90000	36.90000	3.00000					WHP98
50375.0	2.30900	0.04600							268.10000	5.40000	30.60000	2.40000					WHP98
50388.9	2.23700	0.04500							280.50000	5.60000	36.60000	2.90000					WHP98
49870.0	4.86000	0.13000					1558.00000	23.00000	445.90000	9.50000	174.20000	6.50000			75.80000	5.80000	BK99
51495.9	1.54000	0.02500					1158.80000	25.00000	226.40000	4.00000	40.20000	2.50000	10.40000	1.50000	49.40000	3.00000	K01
51497.9	1.56000	0.02500					1184.60000	25.00000	229.40000	4.00000	39.40000	2.50000	8.80000	1.50000	46.90000	3.00000	K01
51500.9	1.65000	0.02500					1173.60000	25.00000	231.80000	4.00000	41.10000	2.50000	10.60000	1.50000	49.50000	3.00000	K01
51518.9	1.92000	0.01000					1112.20000	5.00000	237.00000	2.00000	55.70000	1.50000	12.80000	1.00000	47.60000	3.00000	K01
51520.9	1.92000	0.01100					1082.10000	5.00000	232.70000	2.00000	52.00000	1.50000	12.40000	1.00000	46.70000	1.50000	K01
51522.9	1.94000	0.01800					1040.20000	5.00000	235.60000	2.00000	53.50000	1.50000	12.30000	1.00000	46.60000	1.50000	K01
51525.8	1.82000	0.01200					1197.60000	5.00000	258.00000	2.00000	62.00000	1.50000	14.40000	1.00000	52.20000	1.50000	K01
51528.8	1.86000	0.00800					1205.20000	5.00000	252.70000	2.00000	59.10000	1.50000	13.40000	1.00000	53.10000	1.50000	K01
51547.8	2.15000	0.01100					1204.20000	5.00000	265.20000	2.00000	83.80000	1.50000	14.10000	1.00000	54.40000	1.50000	K01
51584.7	1.41000	0.01300					1252.40000	5.00000	270.00000	2.00000	39.50000	1.50000	13.20000	1.00000	45.20000	1.50000	K01
51586.7	1.39000	0.00700					1261.20000	5.00000	262.90000	2.00000	35.40000	1.50000	12.00000	1.00000	45.60000	1.50000	K01
51595.9	1.55000	0.05000					1194.50000	10.00000	235.10000	4.00000	37.20000	3.00000	12.30000	3.00000	43.20000	3.00000	K01
51598.9	1.63000	0.02500					1125.30000	5.00000	239.20000	2.00000	47.20000	1.50000	10.40000	1.00000	44.80000	1.50000	K01
51605.8	1.40000	0.01400					1143.10000	5.00000	238.20000	2.00000	44.20000	1.50000	12.70000	1.00000	46.40000	1.50000	K01
51608.6	1.35000	0.01500					1128.50000	5.00000	230.10000	2.00000	37.90000	1.50000	11.00000	1.00000	44.10000	1.50000	K01
51611.6	1.36000	0.01700					1091.80000	5.00000	229.80000	2.00000	30.40000	1.50000	11.40000	1.00000	39.30000	1.50000	K01
51614.6	1.09000	0.01100					1140.50000	5.00000	234.60000	2.00000	29.50000	1.50000	10.40000	1.00000	37.40000	1.50000	K01
51629.8	1.08000	0.01300					1076.20000	5.00000	201.30000	2.00000	28.70000	1.50000	8.50000	1.00000	33.60000	1.50000	K01
51637.8	1.04000	0.00900					1066.70000	5.00000	191.60000	2.00000	27.40000	1.50000	9.00000	1.00000	31.60000	1.50000	K01
51645.7	1.16000	0.01500					1009.30000	5.00000	182.30000	2.00000	21.70000	1.50000	9.30000	1.00000	33.90000	1.50000	K01
51658.7	1.38000	0.01900					839.70000	5.00000	180.30000	2.00000	29.70000	1.50000	10.80000	1.00000	29.40000	1.50000	K01
51663.7	1.26000	0.04200					950.70000	10.00000	184.40000	4.00000	28.00000	2.50000	9.90000	2.00000	33.10000	2.50000	K01
51664.7	1.21000	0.00900					973.20000	5.00000	185.70000	2.00000	30.80000	1.50000	9.40000	1.00000	33.20000	1.50000	K01
51670.7	1.33000	0.02100					985.00000	8.00000	179.40000	3.00000	23.80000	2.50000	10.60000	2.00000	37.00000	2.50000	K01
51673.7	1.11000	0.01700					917.50000	5.00000	190.00000	2.00000	22.80000	1.50000	12.70000	1.00000	31.10000	1.50000	K01
51678.6	1.11000	0.01300					982.60000	5.00000	188.30000	2.00000	26.00000	1.50000	9.10000	1.00000	34.70000	1.50000	K01
52252.0	0.63200	0.00500	0.59200	0.05600	0.85600	0.10200	552.28400	0.89200	87.89500	0.31200	11.57900	0.23200	4.53300	0.17400	12.46100	0.19000	SDSS
52581.0	1.14100	0.04500	1.21700	0.57400	1.97600	1.19400	757.98800	1.91100	158.98100	1.55100	15.01100	1.78100	4.49800	1.55500	22.84100	1.39200	FAST-RM1
52586.0	1.02400	0.02200	1.08800	0.25400	1.87900	0.57500	784.44200	1.20500	161.00700	0.83100	18.57900	0.83500	9.34500	0.70900	18.28000	0.73400	FAST-RM1
52612.0	1.13400	0.02500	1.25800	0.30500	2.05800	0.61500	781.71400	1.28700	160.14300	0.89500	19.08700	0.92700	5.86200	0.77900	24.68800	0.83500	FAST-RM1
52618.0	1.11300	0.02500	1.17700	0.29400	1.93000	0.57400	737.00000	1.19600	155.98800	0.89500	13.15400	0.92800	8.69200	0.78400	32.65900	0.85100	FAST-RM1
52620.0	1.04200	0.02800	1.20200	0.33000	1.99200	0.64200	748.59200	1.41400	160.45800	1.02300	25.26900	1.03600	5.05200	0.87300	29.89000	0.96500	FAST-RM1
52638.0	1.31600	0.03500	1.52600	0.41100	2.70300	0.85300	809.14600	1.67500	170.24000	1.22300	44.66000	1.30500	8.12200	1.08400	27.71300	1.16100	FAST-RM1
52640.0	1.46200	0.03700	1.62300	0.41800	2.64500	0.88800	753.23100	1.61500	163.75100	1.24800	35.49000	1.35200	1.09300	1.09700	22.12800	1.22000	FAST-RM1
52648.0	1.17400	0.02800	1.12800	0.29800	2.00400	0.62900	783.54600	1.45000	189.24100	1.05200	35.32300	1.02800	7.84200	0.86900	32.83500	0.87200	FAST-RM1
